Plot,Treatment,Midges,Structure,Date,Month,Year,Time,Block,Araneae,Linyphiidae,Lycosidae,Gnaphosidae,Thomisidae,Opiliones,Coleoptera,Ptinidae,Cryptophagidae,Staphylinidae,Carabidae,Curculionidae,Collembola,Entomobryidae,Isotomidae,Hypogastruridae,Neelidae,Neanuridae,Onychuridae,Poduridae,Sminthuridae,Tomoceridae,Acari,Oribatida,Mesostigmata,Prostigmata,Thyanosoptera,Psyliidae,Aphididae,Coccoidea,Miridae,Saldidae,Tingidae,Nabidae,Microphysid,Auchenorrhyncha,Hymenoptera,Lepidoptera,Arthropods,Coleoptera Larval,Total
25,I,No midges,Short,16-Jul-17,July,2017,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,C,Midges,Tall,16-Jul-17,July,2017,1,4,0,2,0,0,0,0,0,1,1,5,0,0,0,109,10,1,0,0,1,0,45,0,12,78,9,0,1,0,14,0,0,0,0,0,0,0,0,0,0,1,290
29,MI,Midges,Short,16-Jul-17,July,2017,1,4,0,1,0,0,0,0,0,0,1,3,0,0,0,22,10,15,0,0,7,0,66,0,0,151,24,2,1,0,6,0,0,0,0,0,0,0,1,0,2,0,312
30,IT,No midges,Tall,16-Jul-17,July,2017,1,4,0,5,0,0,0,0,0,1,2,11,0,0,0,58,8,1,0,0,1,0,28,0,2,165,3,1,0,0,24,0,0,0,0,0,0,1,3,0,0,3,317
35,I,No midges,Short,16-Jul-17,July,2017,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,19,72,13,0,0,2,0,58,0,2,57,19,18,2,0,5,4,0,0,0,0,0,0,0,0,0,2,274
37,IT,No midges,Tall,16-Jul-17,July,2017,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,C,Midges,Tall,16-Jul-17,July,2017,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,62,37,3,0,0,0,0,86,0,0,86,16,0,1,0,25,1,0,0,0,0,0,0,0,0,0,3,322
39,MI,Midges,Short,16-Jul-17,July,2017,1,5,0,1,0,0,0,0,0,1,1,0,0,0,0,72,68,0,0,0,0,0,100,0,0,132,17,0,2,0,8,1,0,0,0,0,0,0,1,0,0,7,411
43,IT,No midges,Tall,16-Jul-17,July,2017,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,MI,Midges,Short,16-Jul-17,July,2017,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,19,48,3,0,0,2,0,114,0,2,82,10,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,303
46,C,Midges,Tall,16-Jul-17,July,2017,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
