Plot,Treatment,Date,Proportion,P.intercepted,Pitfall.proportion
1,Tall,1-Aug-18,0.963296845,0.92659369,0.036703155
1,Tall,8-Aug-18,0.977596741,0.955193483,0.022403259
1,Tall,16-Aug-18,0.993227991,0.986455982,0.006772009
2,Short,1-Aug-18,0.888888889,0.777777778,0.111111111
2,Short,8-Aug-18,0.926193922,0.852387844,0.073806078
2,Short,16-Aug-18,0.983662941,0.967325881,0.016337059
3,Short,1-Aug-18,0.921001927,0.842003854,0.078998073
3,Short,8-Aug-18,0.987234043,0.974468085,0.012765957
3,Short,16-Aug-18,0.969863014,0.939726027,0.030136986
4,Tall,1-Aug-18,0.943371086,0.886742172,0.056628914
4,Tall,8-Aug-18,0.973166369,0.946332737,0.026833631
4,Tall,16-Aug-18,0.994646044,0.989292088,0.005353956
5,Tall,1-Aug-18,0.910935738,0.821871477,0.089064262
5,Tall,8-Aug-18,0.979127135,0.958254269,0.020872865
5,Tall,16-Aug-18,0.982578397,0.965156794,0.017421603
6,Short,1-Aug-18,0.914509038,0.829018075,0.085490962
6,Short,8-Aug-18,0.786026201,0.572052402,0.213973799
6,Short,16-Aug-18,0.926174497,0.852348993,0.073825503
7,Short,1-Aug-18,0.904223676,0.808447353,0.095776324
7,Short,8-Aug-18,0.934615385,0.869230769,0.065384615
7,Short,16-Aug-18,0.960822094,0.921644188,0.039177906
8,Tall,8-Aug-18,0.998290598,0.996581197,0.010967099
8,Tall,16-Aug-18,0.98630137,0.97260274,0.001709402
8,Tall,1-Aug-18,0.989032901,0.978065803,0.01369863
