Plot,Treatment,Midges,Structure,Block,Time,Bag.Number,Set.Date,Set.Weight,Extraction.Date,Extraction,Tloss,Ploss,Premain
2,MI,Midges,Short,1,1,73,22-Jul-17,2.03,22-Jul-17,2.03,0,0,1
3,I,No Midges,Short,1,1,67,22-Jul-17,2.09,22-Jul-17,2.09,0,0,1
6,IT,No Midges,Tall,1,1,70,22-Jul-17,2.14,22-Jul-17,2.14,0,0,1
8,C,Midges,Tall,1,1,91,22-Jul-17,2.09,22-Jul-17,2.09,0,0,1
9,I,No Midges,Short,2,1,61,22-Jul-17,2.06,22-Jul-17,2.06,0,0,1
12,C,Midges,Tall,2,1,69,22-Jul-17,2.11,22-Jul-17,2.11,0,0,1
13,IT,No Midges,Tall,2,1,58,22-Jul-17,2.19,22-Jul-17,2.19,0,0,1
14,MI,Midges,Short,2,1,77,22-Jul-17,2.08,22-Jul-17,2.08,0,0,1
17,I,No Midges,Short,3,1,76,22-Jul-17,2.06,22-Jul-17,2.06,0,0,1
18,IT,No Midges,Tall,3,1,25,22-Jul-17,2.16,22-Jul-17,2.16,0,0,1
21,MI,Midges,Short,3,1,34,22-Jul-17,2.02,22-Jul-17,2.02,0,0,1
23,C,Midges,Tall,3,1,42,22-Jul-17,2.5,22-Jul-17,2.5,0,0,1
25,I,No Midges,Short,4,1,12,22-Jul-17,2.15,22-Jul-17,2.15,0,0,1
28,C,Midges,Tall,4,1,89,22-Jul-17,2.03,22-Jul-17,2.03,0,0,1
29,MI,Midges,Short,4,1,86,22-Jul-17,2.06,22-Jul-17,2.06,0,0,1
30,IT,No Midges,Tall,4,1,88,22-Jul-17,2.01,22-Jul-17,2.01,0,0,1
35,I,No Midges,Short,5,1,94,22-Jul-17,2.1,22-Jul-17,2.1,0,0,1
37,IT,No Midges,Tall,5,1,10,22-Jul-17,2.01,22-Jul-17,2.01,0,0,1
38,C,Midges,Tall,5,1,93,22-Jul-17,2.05,22-Jul-17,2.05,0,0,1
39,MI,Midges,Short,5,1,85,22-Jul-17,2.03,22-Jul-17,2.03,0,0,1
43,IT,No Midges,Tall,6,1,18,22-Jul-17,2.25,22-Jul-17,2.25,0,0,1
45,MI,Midges,Short,6,1,57,22-Jul-17,2.05,22-Jul-17,2.05,0,0,1
47,I,No Midges,Short,6,1,3,22-Jul-17,2.03,22-Jul-17,2.03,0,0,1
2,MI,Midges,Short,1,2,73,22-Jul-17,2.03,24-Jun-18,0.676,1.354,0.666995074,0.333004926
3,I,No Midges,Short,1,2,67,22-Jul-17,2.09,24-Jun-18,0.7467,1.3433,0.642727273,0.357272727
6,IT,No Midges,Tall,1,2,70,22-Jul-17,2.14,24-Jun-18,0.5939,1.5461,0.722476636,0.277523364
8,C,Midges,Tall,1,2,91,22-Jul-17,2.09,24-Jun-18,0.3905,1.6995,0.813157895,0.186842105
9,I,No Midges,Short,2,2,61,22-Jul-17,2.06,24-Jun-18,0.6415,1.4185,0.688592233,0.311407767
12,C,Midges,Tall,2,2,69,22-Jul-17,2.11,24-Jun-18,0.3992,1.7108,0.810805687,0.189194313
13,IT,No Midges,Tall,2,2,58,22-Jul-17,2.19,24-Jun-18,0.8087,1.3813,0.630730594,0.369269406
14,MI,Midges,Short,2,2,77,22-Jul-17,2.08,24-Jun-18,0.6773,1.4027,0.674375,0.325625
17,I,No Midges,Short,3,2,76,22-Jul-17,2.06,24-Jun-18,0.6846,1.3754,0.667669903,0.332330097
